namespace,extension,version,asset
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.debug-auto-launch.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-it,1.94.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.php-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.php-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.php-language-features.i18n.json
MS-CEINTL,vscode-language-pack-zh-hans,1.94.0,/extension/translations/extensions/vscode.php-language-features.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-ko,1.94.0,/extension/translations/extensions/vscode.npm.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
MS-CEINTL,vscode-language-pack-ru,1.93.0,/extension/translations/extensions/vscode.git-base.i18n.json
